戏剧电影sport,#genre#
凤凰资讯*[720p],https://stream1.freetv.fun/feng-huang-zi-xun-12.m3u8
TVB+[1080p],http://bxtv.3a.ink/api.php?id=tvbp
TVB翡翠*[720p],https://stream1.freetv.fun/fei-cui-10.m3u8
TVB亚洲剧[720p],https://stream1.freetv.fun/tvbsya-zhou-2.m3u8
TVB翡翠*[720p],https://stream1.freetv.fun/fei-cui-4.m3u8
中视[1080p],http://bxtv.3a.ink/api.php?id=zhongshi
东森幼幼[1080p],http://bxtv.3a.ink/api.php?id=dsyy
纬来电影[1080p],http://bxtv.3a.ink/api.php?id=wldy
东森洋片*[1080p],https://stream1.freetv.fun/dong-sen-yang-pian-6.m3u8
东森亚洲新闻[720p],https://stream1.freetv.fun/ya-zhou-xin-wen-1.m3u8
TVB明珠*[1080p],https://stream1.freetv.fun/ming-zhu-4.m3u8
华视[720p],https://stream1.freetv.fun/hua-shi-4.m3u8
TVB经典*[720p],https://stream1.freetv.fun/tvbqian-xi-jing-dian-2.m3u8
东森超视*[720p],https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
TVB亚洲剧[1080p],https://stream1.freetv.fun/tvbsya-zhou-14.m3u8
TVB无线新闻*[720p],https://stream1.freetv.fun/wu-xian-xin-wen-1.m3u8
东森洋片[720p],https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
TVBS[1080p],http://bxtv.3a.ink/api.php?id=tvbs
台视[720p],http://bxtv.3a.ink/api.php?id=taishi
华视[1080p],http://bxtv.3a.ink/api.php?id=huashi
东森综合*[720p],https://stream1.freetv.fun/dong-sen-zong-he-2.m3u8
八大第1[720p],https://stream1.freetv.fun/ba-da-di-yi-1.m3u8
靖天戏剧*[1080p],https://stream1.freetv.fun/jing-tian-xi-ju-2.m3u8
爱尔达影剧[720p],https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
靖天资讯*[1080p],https://stream1.freetv.fun/jing-tian-zi-xun-4.m3u8
三立新闻[720p],https://stream1.freetv.fun/san-li-xin-wen-6.m3u8
天映经典[720p],https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
天映经典[540p],https://migu.188766.xyz/?migutoken=6ffdbe64f4dcc33c8f1fd46c4a1f563d&id=Celestial2&type=dy
天映电影[720p],https://migu.188766.xyz/?migutoken=4d63b36bc4bfe6b640297977496755af&id=Celestial&type=dy
靖天卡通[720p],https://stream1.freetv.fun/jing-tian-qia-tong-1.m3u8
龙华经典[1080p],https://cdn8.163189.xyz/live/lhjd/stream.m3u8
中视[720p],https://stream1.freetv.fun/zhong-shi-8.m3u8
龙华卡通[720p],https://stream1.freetv.fun/long-hua-qia-tong-2.m3u8
龙华卡通[720p],https://cdn8.163189.xyz/live/lhkt/stream.m3u8
天映[720p],https://stream1.freetv.fun/tian-ying-1.m3u8
龙华日韩[1080p],https://cdn8.163189.xyz/live/lhrh/stream.m3u8
三立戏剧*[720p],https://stream1.freetv.fun/san-li-xi-ju-4.m3u8
民视新闻*[720p],https://stream1.freetv.fun/min-shi-xin-wen-14.m3u8
天映经典*[720p],https://stream1.freetv.fun/tian-ying-jing-dian-4.m3u8
人间卫视[720p],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
香港卫视[720p],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰卫视[720p],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
香港卫视[720p],http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视[720p],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&wsMonitor=0
香港卫视[720p],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
香港卫视[720p],https://migu.188766.xyz/?migutoken=03e8b1156a579dfc38cafd68a3a1f944&id=%E9%A6%99%E6%B8%AF%E5%8D%AB%E8%A7%86&pp=1
人间卫视[720p],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人间卫视[720p],https://stream1.freetv.fun/ren-jian-wei-shi-4.m3u8
人间卫视[720p],https://stream1.freetv.fun/ren-jian-wei-shi-12.m3u8
龙华电影[1080p],https://cdn8.163189.xyz/live/lhdy/stream.m3u8
TVB星河国语[720p],http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河国语[720p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
无线翡翠台[720p],http://php.jdshipin.com:8880/smt.php?id=jade_twn
神乐欧美影院[1080p],http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
无线明珠台[720p],http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线华丽台[720p],http://php.jdshipin.com:8880/smt.php?id=Wlt
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-8.m3u8
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-7.m3u8
斗鱼影视25[720p],http://zzy789.xyz/douyu1.php?id=7623292
神乐影院[720p],http://huanqiuzhibo.cn/manifest/douyu.php?id=85894
靖天映画[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-13.m3u8
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-11.m3u8
靖天戏剧[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
龙华偶像[1080p],https://cdn8.163189.xyz/live/lhox/stream.m3u8
凤凰资讯[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
天映经典[720p],https://stream1.freetv.fun/tian-ying-jing-dian-7.m3u8
天映经典[720p],https://stream1.freetv.fun/tian-ying-jing-dian-3.m3u8
天映电影[720p],https://stream1.freetv.fun/tian-ying-dian-ying-1.m3u8
纬来日本[720p],http://api.mytv666.top/api/hk.php?id=3133363034363738393961346338323433306638356263633139386238313034267469643d74762669643d3738
CETV-4[1080p],https://migu.188766.xyz/?migutoken=0c77ea7b190574524f264afb5954c7f8&id=CETV4&type=yy
寰宇新闻台湾[720p],http://api.mytv666.top/api/hk.php?id=3033373433646530353534613238376432643166376430666330623766303633267469643d74762669643d313133
靖天卡通[720p],http://api.mytv666.top/api/hk.php?id=3536363563306635366665346566326566613430323937633364666166666632267469643d74762669643d313632
龙华日韩[720p],http://api.mytv666.top/api/hk.php?id=3736613333383334346630626430353238656638393462343032653335616630267469643d74762669643d313639
凤凰卫视资讯[720p],http://api.mytv666.top/api/hk.php?id=3466666465333638363063643761373565646565623433626664396162396635267469643d77696e74763132332669643d33
无线明珠粤高[720p],http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
皇家华人.RAS-0184.夜夜.完全主观满足你的性妄想[720p],https://t25.cdn2020.com/video/m3u8/2024/04/16/919055d9/index.m3u8
无线翡翠[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=fct2
无线翡翠[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=fct3
凤凰中文[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
TVB翡翠[720p],http://php.jdshipin.com/TVOD/iptv.php?id=fct
无线华丽[720p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线明珠[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=mzt
TVB星河[720p],http://php.jdshipin.com/smt.php?id=Xinhe
天映经典[540p],http://php.jdshipin.com/smt.php?id=Celestial2
毛县令办案-潘长江[622p],http://uptt.gcwduoduo.com/v/190528/c0e9a77c5162d1143e596943f25bf04a.mp4
TVB翡翠[1080p],http://api.mytv666.top/api/hk.php?id=6133373062306330636436323766386638333930633734343164306361626637267469643d74762669643d3234
心病-赵本山[622p],http://uptt.gcwduoduo.com/v/190528/ad11d8507454d002d52cf31e5515bde2.mp4
过河-潘长江[622p],http://uptt.gcwduoduo.com/v/190528/21f13ec36f07ebbf366659673712e667.mp4
东森新闻[1080p],http://api.mytv666.top/api/hk.php?id=3034663439313837653865616166346561376139613235333434396531666564267469643d74762669643d3530
民视新闻[720p],http://api.mytv666.top/api/hk.php?id=6133333434353635663133373938343030353333343563353132326433396230267469643d74762669643d3536
中天亚洲[720p],http://api.mytv666.top/api/hk.php?id=3962383334666661326334396461326537383063663333666566333830363536267469643d74762669643d313030
华视新闻[720p],http://api.mytv666.top/api/hk.php?id=3537326339386632386464663735336532316461313764643035633834323661267469643d74762669643d313032
靖天电影[720p],http://api.mytv666.top/api/hk.php?id=3235646236316132333834636665636537663935383763353038393730396532267469643d74762669643d313236
龙华电影[720p],http://api.mytv666.top/api/hk.php?id=3035323564303234633636363432306231623132633130343263343863633231267469643d74762669643d313237
八大精彩[720p],http://api.mytv666.top/api/hk.php?id=3434643962353934663735326130343665373733333532666238666637636236267469643d74762669643d313535
中天新闻[1080p],http://api.mytv666.top/api/hk.php?id=3862366539313935356333316130363734623834353962623032616433353263267469643d77696e74763132332669643d3433
台视新闻[720p],http://api.mytv666.top/api/hk.php?id=3734336535623139656265303339663361646637333131663633363331653863267469643d77696e74763132332669643d3439
民视新闻[720p],http://api.mytv666.top/api/hk.php?id=3866616331333533363464353463346432653139633236633036643261633831267469643d77696e74763132332669643d3538
民视综艺[720p],http://api.mytv666.top/api/hk.php?id=3466353364643062353139316130616161376438323237333565653365343633267469643d77696e74763132332669643d3633
三立台湾[1080p],http://api.mytv666.top/api/hk.php?id=3362333838663839386633393162343165396331313735636535396339356263267469643d77696e74763132332669643d3735
翡翠台[720p],http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
美亚电影[1080p],http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
中天亚洲[1080p],http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
民视[1080p],http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民视第一[1080p],http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
纬来体育[720p],http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
TVBS新闻[720p],http://s1.an94tv.cfd/tvbs/tvbs/AKTV.m3u8
无线新闻[1080p],http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
东森新闻[1080p],http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
中天新闻[1080p],http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
无线星河[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=tvbxh
无线新闻[1080p],http://php.jdshipin.com/smt.php?id=inews_twn
无线星河[720p],http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
美亚电影[1080p],http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
无线新闻[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
无线华丽[720p],http://php.jdshipin.com/smt.php?id=Tvbjade
东森洋片[720p],http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
无线功夫[720p],http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
凤凰资讯[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
TVB娱乐新闻[720p],http://php.jdshipin.com/smt.php?id=Tvbentertainment
凤凰中文[1080p],http://php.jdshipin.com:8880/iptv.php?id=fhzw
凤凰中文[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰资讯[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
三立新闻4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8?proxy=true
三立综合4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8?proxy=true
东森电影[1080p],http://api.mytv666.top/api/hk.php?id=3563613433653133623862616531376566383964346437653631326632353735267469643d77696e74763132332669643d3937
大爱壹高4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8?proxy=true
人间卫视4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live008/index.m3u8?proxy=true
大爱贰高4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live106/index.m3u8?proxy=true
戏剧壹台4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live010/index.m3u8?proxy=true
美亚电影[1080p],http://php.jdshipin.com/PLTV/iptv.php?id=meiya
亚洲卫视[1080p],https://fenghuang.tv12.xyz/173.m3u8
无线新闻[1080p],http://beishan008.asuscomm.com:8890/bysid/83.m3u8
无线翡翠[1080p],http://beishan008.asuscomm.com:8889/bysid/1.m3u8
无线明珠[1080p],http://beishan008.asuscomm.com:8890/bysid/2.m3u8
电影迷小雅[1080p],http://zzy789.xyz/douyu1.php?id=9639225
1900影剧室[1080p],http://zzy789.xyz/douyu1.php?id=7796193
爱星影视[1080p],http://zzy789.xyz/douyu1.php?id=9476806
东森购叁4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live048/index.m3u8?proxy=true
东森购壹4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live047/index.m3u8?proxy=true
东森购五4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live049/index.m3u8?proxy=true
东森购贰4Gtv[1080p],http://xn--elt51t.azip.dpdns.org:5008/4gtv-live046/index.m3u8?proxy=true
AXN[1080p],http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
凤凰香港[720p],http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
翡翠台版TVBJ1[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVBJ1[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
凤凰中文[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
翡翠台[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fct3
凤凰资讯[720p],http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
翡翠台[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fct2
1900影剧室[1080p],http://lxajh.top/tv/douyu.php?id=7796193
爱星影视[1080p],http://lxajh.top/tv/douyu.php?id=9476806
电影迷小雅[1080p],http://lxajh.top/tv/douyu.php?id=9639225
美亚电影[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=meiya
天映[720p],http://php.jdshipin.com/smt.php?id=Celestial
亚洲卫视[1080p],https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
台湾|TVBSNews新闻[2160p],https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
台湾|TVBS欢乐台（备份）[2160p],https://smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
台湾|TVBS[2160p],https://smart.pendy.dpdns.org/Smart.php?id=tvbs
台湾|台视TTV[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
台湾|中天综合CTIMetro[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
台湾|中天娱乐CTIEntertaiment[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ctient
台湾|台视综合[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
台湾|台视新闻[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
寰宇新闻台湾[1080p],http://api.mytv666.top/api/hk.php?id=3264386336616633313438633165356234343633333835343932323730646666267469643d77696e74763132332669643d3438
台湾|中视[2160p],https://smart.pendy.dpdns.org/Smart.php?id=zhongshihd_twn
台湾|中天亚洲[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
台湾|中视新闻[2160p],https://smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
台湾|民视[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ftvhd_taiwan
台湾|民视新闻台FTVNews[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
台湾|民视台湾[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
凤凰卫视资讯[1080p],http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
台湾|公视CTV[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
台湾|八大第一GTVFirst[2160p],https://smart.pendy.dpdns.org/Smart.php?id=badafirst
台湾|八大戏剧GTVDrama[2160p],https://smart.pendy.dpdns.org/Smart.php?id=badadrama
台湾|三立台湾SanliTaiwan[2160p],https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
台湾|八大娱乐GTVEntertainment[2160p],https://smart.pendy.dpdns.org/Smart.php?id=badaentertain
台湾|三立综合SanliMetro[2160p],https://smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
台湾|三立戏剧[2160p],https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
台湾|八大综合GTVMetro[2160p],https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
台湾|东森财经新闻ETTVBusiness[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
台湾|三立都会[2160p],https://smart.pendy.dpdns.org/Smart.php?id=sanlidouhui
台湾|东森综合ETTVMetro[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
台湾|寰宇财经[2160p],https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
台湾|寰宇新闻[2160p],https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
凤凰卫视香港[720p],http://api.mytv666.top/api/hk.php?id=6236633663616530356662393862393061363963343963633363333434333733267469643d77696e74763132332669643d34
台湾|公视2[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ctv2_twn
台湾|东森戏剧ETTVDrama[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ettvdrama
台湾|龙华经典[2160p],https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
台湾|龙华戏剧LunghuaDrama[2160p],https://smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
翡翠台[720p],http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
台湾|龙华偶像[2160p],https://smart.pendy.dpdns.org/Smart.php?id=lunghuaidol_twn
翡翠台[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
TVBS亚洲[1080p],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
台湾|大爱1[2160p],https://smart.pendy.dpdns.org/Smart.php?id=daai_twn
台湾|AXNTaiwan[2160p],https://smart.pendy.dpdns.org/Smart.php?id=axn_twn
凤凰中文[720p],https://k44991.kylintv.tv/live/pxna_iphone.m3u8
台湾|靖天[2160p],https://smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
台湾|东森洋片ETTVWestern[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
翡翠台[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40
台湾|纬来电影[2160p],https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
台湾|大爱2[2160p],https://smart.pendy.dpdns.org/Smart.php?id=daai2_twn
台湾|纬来育乐[2160p],https://smart.pendy.dpdns.org/Smart.php?id=videolandyule
台湾|纬来日本[2160p],https://smart.pendy.dpdns.org/Smart.php?id=videolandjapan
台湾|纬来精彩[2160p],https://smart.pendy.dpdns.org/Smart.php?id=videolandspecial_twn
台湾|纬来综合[2160p],https://smart.pendy.dpdns.org/Smart.php?id=videolandzonghe
台湾|美亚电影[2160p],https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
台湾|龙华洋片LunghuaWestern[2160p],https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
台湾|靖天卡通[2160p],https://smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
台湾|东森电影ETTVMovie[2160p],https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
纬来体育[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=291&time=20240926215313&ip=111.229.253.40
台湾|EYETV戏剧[2160p],https://smart.pendy.dpdns.org/Smart.php?id=eyetvxiju_twn
TVBAsia[2160p],https://smart.pendy.dpdns.org/Smart.php?id=Tvbasia
东森综合[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=220&time=20240926215313&ip=111.229.253.40
香港|翡翠台backup[2160p],https://smart.pendy.dpdns.org/Smart.php?id=Jade_xue
台湾|爱尔达影剧[2160p],https://smart.pendy.dpdns.org/Smart.php?id=eltayingju_twn
凤凰香港[720p],http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文[720p],http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
台湾|东森幼幼YoyoTV[2160p],https://smart.pendy.dpdns.org/Smart.php?id=yoyo_twn
易中天[576p],http://dns.yiandrive.com:13571/huya/11602032
东森超视[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
凤凰中文[720p],https://stream1.freetv.fun/feng-huang-zhong-wen-4.m3u8
凤凰香港[720p],http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.flv
TVB星河[720p],http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
凤凰资讯[720p],http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯[720p],http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.flv
TVB星河[720p],http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
凤凰中文[720p],https://stream1.freetv.fun/feng-huang-zhong-wen-5.ctv
三立新闻[1080p],https://stream1.freetv.fun/san-li-xin-wen-4.m3u8
天映经典[576p],https://live.tvfix.org/live/tyjd/index.m3u8
东森[1080p],https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-1.m3u8
TVB娱乐新闻[720p],http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
民视新闻[720p],https://stream1.freetv.fun/min-shi-xin-wen-7.m3u8
公视[720p],http://xn--94q.l5.ca/daili/Smartv.php?id=ctv_taiwan
龙祥时代[1080p],http://xn--94q.l5.ca/daili/Smartv.php?id=lungxiangtime_twn
三立台湾[720p],https://stream1.freetv.fun/san-li-tai-wan-1.ctv
TVB无线新闻[1080p],http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB娱乐新闻[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
靖洋戏剧[720p],https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
龙华洋片[1080p],https://cdn8.163189.xyz/live/lhyp/stream.m3u8
东森卫视[720p],https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
