更新时间,#genre#
20250607-17-39-28,url


RespoTime,whitelist,#genre#
316.00ms,北京卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003870776.m3u8
316.16ms,第三十二集,https://yzzy.play-cdn7.com/20221013/22717_f68706d1/index.m3u8
316.19ms,延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
316.34ms,湖北综合,https://stream1.freetv.fun/hu-bei-zong-he-2.m3u8
316.85ms,浙江民生休闲,https://stream1.freetv.fun/zhe-jiang-min-sheng-9.m3u8
316.88ms,十堰新闻,https://stream1.freetv.fun/shi-yan-xin-wen-1.m3u8
317.61ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
317.91ms,哈哈炫动,https://stream1.freetv.fun/ipv6-ha-ha-xuan-dong-10.m3u8
318.18ms,萧山新闻综合,https://stream1.freetv.fun/xiao-shan-xin-wen-zong-he-1.m3u8
318.27ms,江门综合,https://stream1.freetv.fun/jiang-men-zong-he-8.ctv
318.27ms,第二十五集,https://yzzy.play-cdn7.com/20221013/22711_85b4b7d4/index.m3u8
318.41ms,苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed;http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8;http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8zzhed
318.61ms,湖北综合,https://stream1.freetv.fun/hu-bei-zong-he-4.ctv
